id,typesPoste,producteurs,nom,dateDebut,dateFin,altitude,latitude,longitude
47323001,4,['METEO-FRANCE'],VILLENEUVE-SUR-LOT (VILLENEUVE-SUR-LOT-AERO),1968-08-01 00:00:00,1975-12-31 00:00:00,[82],[44.406666666666666],[0.766666666666666]
47323002,4,['AUTRES'],VILLENEUVE-SUR-LOT,1858-01-01 00:00:00,1968-07-31 00:00:00,"[56, 60]","[44.406666666666666, 44.4]",[0.705]
47324001,4,['METEO-FRANCE'],VILLEREAL (VILLEREAL LE TUNNEL),1961-02-01 00:00:00,1975-01-31 00:00:00,"[90, 95]",[44.63666666666666],[0.741666666666666]
47324002,4,['METEO-FRANCE'],VILLEREAL (VILLEREAL AGGLOMERATION),1888-01-01 00:00:00,1904-06-30 00:00:00,[115],[44.63666666666666],[0.741666666666666]
48002001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",ALBARET-SAINTE-MARIE (ALBARET-SAINTE-MARIE LAGARDE),1948-01-01 00:00:00,1977-07-31 00:00:00,[1050],[44.88333333333333],[3.25]
48003001,4,['METEO-FRANCE'],ALLENC (ALLENC LARZALIER),1979-01-01 00:00:00,1983-04-30 00:00:00,[1200],[44.56666666666667],[3.683333333333333]
48010001,4,['METEO-FRANCE'],AUROUX,1884-01-01 00:00:00,1886-12-31 00:00:00,[1000],[44.75333333333333],[3.728333333333333]
48014001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",MONT LOZERE ET GOULET (BAGNOLS),1873-01-01 00:00:00,2021-01-01 00:00:00,"[923, 918]","[44.505, 44.50516666666667]","[3.6676666666666673, 3.661666666666666]"
48015002,4,['ELECTRICITE DE FRANCE'],PIED-DE-BORNE (PIED-DE-BORNE AGGLOMERATION),1884-01-01 00:00:00,1890-12-31 00:00:00,[352],[44.475],[3.983333333333333]
48016001,4,['METEO-FRANCE'],BALSIEGES (BALSIEGES AGGLOMERATION),1907-01-01 00:00:00,1913-12-31 00:00:00,[685],[44.48],[3.456666666666666]
48017001,4,['METEO-FRANCE'],BANASSAC-CANILHAC (BANASSAC AGGLOMERATION),1884-01-01 00:00:00,1892-12-31 00:00:00,[532],[44.43333333333333],[3.2]
48019001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",BARRE-DES-CEVENNES,1884-01-01 00:00:00,2020-01-01 00:00:00,"[897, 900]","[44.24333333333333, 44.25033333333333]","[3.651333333333333, 3.6516666666666673]"
48020001,4,['METEO-FRANCE'],BASSURELS (BASSURELS TUNNEL DE MARQUAIRES),1891-01-01 00:00:00,1959-08-31 00:00:00,[970],[44.178333333333335],[3.623333333333333]
48020002,4,['METEO-FRANCE'],BASSURELS (BASSURELS AIRE DE COTE),1905-01-01 00:00:00,1913-12-31 00:00:00,[1110],[44.178333333333335],[3.623333333333333]
48021001,4,['METEO-FRANCE'],LUC (LA BASTIDE),1889-01-01 00:00:00,1970-12-31 00:00:00,"[1024, 1000, 1043]","[44.59, 44.6]","[3.9, 3.9066666666666663]"
48021002,4,['METEO-FRANCE'],LA BASTIDE-PUYLAURENT (LA BASTIDE-PUYLAURENT LE THORT),1873-01-01 00:00:00,1890-12-31 00:00:00,[1100],[44.59],[3.9066666666666663]
48023001,4,['METEO-FRANCE'],SAINT-FREZAL-D'ALBUGES (BELVEZET),1874-01-01 00:00:00,1978-12-31 00:00:00,"[1193, 1194, 1185, 1183]","[44.56333333333333, 44.56666666666667]","[3.75, 3.743333333333333]"
48027004,4,['METEO-FRANCE'],MONT LOZERE ET GOULET (LE BLEYMARD MONT-LOZERE),1868-10-01 00:00:00,1890-08-31 00:00:00,[1308],[44.486666666666665],[3.733333333333333]
48030001,4,['CONSEIL GENERAL OU REGIONAL'],BRENOUX (MENDE-BRENOUX),1974-11-01 00:00:00,2014-01-01 00:00:00,[1019],[44.506],[3.527333333333333]
48031001,4,['ELECTRICITE DE FRANCE'],BRION (BRION-VIEUX),1953-01-01 00:00:00,1986-04-30 00:00:00,"[1130, 1125]","[44.75333333333333, 44.75]","[3.081666666666666, 3.071666666666666]"
48031002,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",BRION,1986-04-01 00:00:00,2021-12-31 00:00:00,[1217],[44.743],"[3.086166666666666, 3.085833333333333]"
48032001,4,['METEO-FRANCE'],LE BUISSON (LE BUISSON LA RECOUZE),1968-07-01 00:00:00,1969-11-30 00:00:00,[1220],[44.62833333333333],[3.233333333333333]
48032002,4,['ASSOCIATION OU COMMISSION METEOROLOGIQUE DEPARTEMENTALE'],LE BUISSON,1991-01-01 00:00:00,2008-12-31 00:00:00,[1110],[44.64833333333333],[3.221666666666666]
48037001,4,['METEO-FRANCE'],CHADENET (CHADENET LA LOUBIERE),1907-01-01 00:00:00,1913-12-31 00:00:00,[1140],[44.51833333333333],[3.633333333333333]
48038001,4,['METEO-FRANCE'],BEL-AIR-VAL-D'ANCE (CHAMBON-LE-CHATEAU),1884-01-01 00:00:00,1890-12-31 00:00:00,[1012],[44.85166666666667],[3.658333333333333]
48039001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",CHANAC,1949-01-01 00:00:00,2021-01-01 00:00:00,"[672, 620, 638]","[44.465, 44.465333333333334]","[3.3405, 3.341666666666667]"
48040001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",MONT LOZERE ET GOULET (CHASSERADES),1971-01-01 00:00:00,2021-01-01 00:00:00,[1052],[44.5375],[3.834333333333333]
48040002,4,['ELECTRICITE DE FRANCE'],MONT LOZERE ET GOULET (CHASSERADES),1959-01-01 00:00:00,1970-12-31 00:00:00,[1170],[44.538333333333334],[3.835]
48045001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",CHAUDEYRAC,1952-01-01 00:00:00,2023-12-31 00:00:00,"[1140, 1143]","[44.65833333333333, 44.665]","[3.76, 3.756666666666667]"
48045002,4,['ELECTRICITE DE FRANCE'],CHAUDEYRAC,1884-01-01 00:00:00,1938-12-31 00:00:00,[1222],[44.65833333333333],[3.756666666666667]
48046001,4,['METEO-FRANCE'],CHAULHAC (CHAULHAC AGGLOMERATION),1884-01-01 00:00:00,1890-12-31 00:00:00,[914],[44.92166666666667],[3.256666666666667]
48048001,4,['METEO-FRANCE'],CHEYLARD-L'EVEQUE (CHEYLARD-L'EVEQUE CHAUDEYRAT),1870-01-01 00:00:00,1883-12-31 00:00:00,[1150],[44.64666666666667],[3.801666666666666]
